Packet number,RSSI
1,-75
2,-75
3,-75
4,-76
5,-75
6,-76
7,-74
8,-76
9,-75
10,-75
11,-76
12,-76
13,-76
14,-77
15,-71
16,-71
17,-71
18,-71
19,-71
20,-73
21,-74
22,-73
23,-71
24,-71
25,-71
26,-71
27,-71
28,-71
29,-71
30,-72
31,-72
32,-71
33,-71
34,-73
35,-71
36,-73
37,-74
38,-75
39,-74
40,-75
41,-75
42,-71
43,-72
44,-72
45,-70
46,-72
47,-71
48,-71
49,-71
50,-71
51,-70
52,-70
53,-71
55,-72
56,-70
57,-70
58,-72
59,-71
60,-70
61,-70
62,-71
63,-70
64,-71
65,-72
66,-71
67,-70
68,-71
69,-71
70,-71
71,-71
72,-71
73,-70
74,-71
75,-72
76,-70
77,-71
78,-70
79,-71
80,-71
81,-70
82,-72
83,-72
84,-70
85,-72
86,-71
87,-70
88,-72
89,-71
90,-72
91,-71
92,-71
93,-72
94,-73
95,-70
96,-72
97,-71
98,-71
99,-73
100,-82
101,-71
102,-71
103,-71
104,-71
105,-72
106,-72
107,-72
108,-79
109,-70
110,-71
111,-71
112,-70
113,-76
114,-74
115,-75
116,-76
117,-73
118,-74
119,-73
120,-74
121,-74
122,-74
123,-73
124,-75
125,-75
126,-74
127,-74
128,-74
129,-74
130,-74
131,-73
132,-73
133,-76
134,-73
135,-73
136,-73
137,-74
138,-74
139,-73
140,-73
141,-73
142,-73
143,-73
144,-73
145,-73
146,-72
147,-73
148,-73
149,-74
150,-73
151,-74
152,-73
153,-73
154,-76
155,-73
156,-72
157,-73
158,-73
159,-74
160,-73
161,-75
162,-74
163,-75
164,-74
165,-76
166,-74
167,-74
168,-73
169,-73
170,-73
171,-74
172,-74
173,-75
174,-74
175,-77
176,-75
177,-74
178,-75
179,-74
181,-74
182,-75
183,-74
184,-73
185,-74
186,-73
187,-73
188,-74
189,-74
190,-71
191,-73
192,-74
193,-74
194,-72
195,-75
196,-75
197,-74
198,-74
199,-73
200,-74
201,-73
202,-73
203,-72
204,-73
205,-77
206,-73
207,-76
208,-73
209,-74
210,-73
211,-74
212,-73
213,-72
214,-76
215,-73
216,-75
217,-74
218,-73
219,-76
220,-76
221,-74
222,-72
223,-73
224,-72
225,-72
226,-73
227,-73
228,-75
229,-72
230,-73
231,-73
232,-76
233,-73
234,-76
237,-75
238,-74
239,-73
240,-76
241,-73
242,-76
243,-73
244,-72
245,-73
246,-73
247,-73
248,-73
249,-74
250,-73
251,-74
252,-73
253,-73
254,-72
255,-73
256,-73
258,-77
259,-73
260,-73
261,-73
263,-73
264,-73
265,-74
266,-74
267,-73
268,-73
269,-73
270,-73
271,-73
272,-73
273,-75
274,-73
275,-75
276,-74
277,-73
278,-73
279,-76
280,-73
281,-72
282,-73
283,-73
284,-73
285,-73
286,-73
287,-73
288,-73
289,-73
290,-73
291,-73
292,-73
293,-74
294,-73
295,-73
296,-76
297,-74
298,-73
299,-75
300,-73
301,-73
302,-73
303,-73
304,-73
305,-73
306,-74
307,-73
308,-73
309,-74
310,-73
311,-73
312,-73
313,-73
314,-73
315,-73
316,-73
317,-73
318,-73
319,-73
320,-73
321,-73
322,-76
323,-73
324,-74
325,-73
326,-73
327,-73
328,-76
329,-72
330,-73
331,-74
332,-73
333,-73
334,-74
335,-72
336,-73
337,-74
338,-73
339,-77
340,-74
341,-73
342,-73
343,-73
344,-73
345,-74
346,-73
347,-74
348,-73
349,-73
350,-74
351,-73
352,-76
353,-73
354,-73
355,-73
356,-73
357,-74
358,-73
359,-73
360,-73
361,-73
362,-74
363,-73
364,-73
365,-73
366,-76
367,-73
368,-73
369,-74
370,-74
371,-73
372,-73
373,-73
374,-74
375,-72
376,-73
377,-74
378,-73
379,-73
380,-73
381,-74
382,-73
383,-74
384,-74
385,-73
386,-73
387,-73
388,-73
389,-73
390,-73
391,-74
392,-73
393,-76
394,-73
395,-73
396,-73
397,-74
398,-73
399,-73
400,-73
401,-73
402,-74
403,-74
404,-73
405,-73
406,-73
407,-73
408,-73
409,-73
410,-73
411,-73
412,-74
413,-73
414,-73
415,-73
416,-73
417,-72
418,-73
419,-73
420,-76
421,-76
422,-73
423,-72
425,-73
426,-73
427,-73
428,-73
429,-73
430,-73
431,-75
432,-73
434,-73
435,-73
436,-72
437,-73
438,-73
439,-75
440,-75
441,-76
442,-73
443,-73
444,-73
445,-73
446,-73
447,-73
448,-73
449,-73
450,-72
452,-73
453,-75
454,-73
455,-73
456,-73
457,-73
458,-73
459,-73
460,-73
461,-72
462,-72
463,-73
464,-73
465,-72
466,-76
467,-73
468,-72
469,-72
470,-73
471,-73
472,-72
473,-72
474,-73
475,-72
476,-73
477,-73
478,-72
479,-72
480,-74
481,-72
482,-72
483,-73
484,-72
485,-73
486,-73
487,-73
490,-73
491,-73
492,-73
493,-73
494,-73
495,-73
496,-72
497,-73
498,-73
499,-73
