Packet number,RSSI
0,-89
1,-96
2,-95
3,-100
4,-97
5,-98
6,-96
7,-94
8,-95
9,-95
10,-99
11,-95
12,-100
13,-97
14,-99
15,-96
16,-94
17,-97
18,-95
19,-96
20,-98
21,-93
22,-96
23,-98
24,-98
25,-94
26,-97
27,-98
28,-97
29,-95
30,-97
31,-98
32,-98
33,-101
34,-103
35,-100
36,-101
37,-103
38,-99
39,-100
40,-98
41,-99
42,-102
43,-98
44,-102
45,-98
46,-98
47,-105
48,-102
49,-102
50,-98
51,-96
52,-94
53,-99
54,-100
55,-98
56,-96
57,-97
58,-98
59,-99
60,-100
61,-98
62,-101
63,-100
64,-99
65,-102
66,-94
67,-100
68,-102
69,-99
70,-99
71,-99
72,-98
73,-100
74,-98
75,-98
76,-100
77,-98
78,-97
79,-93
80,-98
81,-99
82,-98
83,-99
84,-99
85,-99
86,-98
87,-100
88,-100
89,-95
90,-98
91,-101
92,-100
93,-95
94,-91
95,-95
96,-102
97,-95
98,-99
99,-101
100,-99
101,-94
102,-101
103,-97
104,-100
105,-104
106,-100
107,-108
108,-99
109,-105
110,-106
111,-98
112,-98
113,-98
114,-97
115,-98
116,-99
117,-98
118,-101
119,-101
120,-101
121,-101
122,-91
123,-101
124,-101
125,-99
127,-98
128,-95
129,-93
130,-100
131,-100
132,-101
134,-98
135,-97
136,-94
137,-96
138,-98
139,-101
140,-95
141,-97
142,-91
143,-93
144,-98
145,-97
146,-93
147,-92
148,-94
149,-100
150,-99
151,-102
152,-99
153,-100
154,-100
155,-98
156,-99
157,-98
158,-98
159,-96
160,-99
161,-99
162,-98
163,-98
164,-98
165,-98
166,-98
167,-98
168,-100
169,-97
170,-104
171,-100
172,-95
173,-92
174,-97
175,-96
176,-101
177,-94
178,-95
179,-95
180,-99
181,-95
182,-99
183,-102
184,-97
185,-98
186,-100
187,-100
188,-98
189,-96
190,-98
191,-99
192,-99
193,-97
194,-98
195,-100
196,-95
197,-99
198,-99
199,-98
200,-98
201,-98
202,-98
203,-99
204,-98
205,-94
206,-99
207,-99
208,-94
209,-95
210,-98
211,-97
212,-98
213,-97
214,-98
215,-98
216,-98
217,-98
218,-97
219,-97
220,-97
221,-95
222,-96
223,-98
224,-97
225,-97
226,-98
227,-98
228,-98
229,-95
230,-98
231,-98
232,-98
233,-98
234,-97
235,-98
236,-98
237,-98
238,-97
239,-97
240,-98
241,-99
242,-97
243,-96
244,-96
245,-95
246,-96
247,-92
248,-102
249,-103
250,-99
251,-91
252,-97
253,-95
254,-93
255,-97
256,-95
257,-101
258,-104
259,-96
260,-100
261,-94
262,-97
263,-95
264,-92
265,-95
266,-95
267,-92
268,-94
269,-95
270,-95
271,-95
272,-104
273,-109
274,-99
275,-94
276,-98
277,-98
278,-101
279,-98
280,-101
281,-95
282,-98
283,-101
284,-100
285,-106
286,-97
287,-97
288,-98
289,-103
290,-98
291,-100
292,-97
293,-95
294,-99
295,-98
296,-100
297,-101
298,-97
299,-100
300,-99
301,-100
302,-99
303,-96
304,-100
305,-99
306,-101
307,-99
308,-96
309,-97
310,-96
311,-101
312,-97
313,-98
314,-99
315,-98
316,-97
317,-100
318,-101
319,-98
320,-98
321,-97
322,-93
323,-89
324,-98
325,-96
326,-98
327,-97
328,-98
329,-97
330,-96
331,-94
332,-97
333,-98
334,-96
335,-99
336,-97
337,-101
338,-96
339,-98
340,-99
341,-97
342,-99
343,-88
344,-100
345,-96
346,-96
347,-96
348,-96
349,-97
350,-95
351,-98
352,-101
353,-97
354,-101
355,-100
356,-91
357,-95
358,-91
359,-100
360,-97
361,-95
362,-94
363,-98
364,-99
365,-99
366,-94
367,-96
368,-98
369,-97
370,-100
371,-98
372,-104
373,-99
374,-98
375,-93
376,-95
377,-96
378,-93
379,-96
380,-95
381,-96
382,-100
383,-97
384,-101
385,-100
386,-98
387,-101
388,-99
389,-97
390,-98
391,-97
392,-93
393,-96
394,-97
395,-97
396,-100
397,-99
398,-106
399,-114
400,-101
401,-100
402,-101
403,-98
405,-96
406,-95
407,-94
408,-99
409,-97
410,-92
411,-94
412,-96
413,-98
414,-99
415,-100
416,-102
417,-101
418,-101
419,-99
420,-97
421,-95
422,-92
423,-96
424,-97
425,-96
426,-97
427,-96
428,-97
429,-97
430,-95
431,-95
432,-97
433,-96
434,-96
435,-97
436,-94
437,-96
438,-98
439,-96
440,-97
441,-97
442,-94
443,-98
444,-95
445,-97
446,-98
447,-96
448,-97
449,-97
450,-94
451,-98
452,-95
453,-98
454,-98
455,-92
456,-94
457,-97
458,-96
459,-97
460,-95
461,-98
462,-97
463,-95
464,-92
465,-98
466,-95
467,-96
468,-95
469,-97
470,-97
471,-95
472,-96
473,-95
474,-93
475,-98
476,-98
477,-94
478,-97
479,-99
480,-98
481,-98
482,-100
483,-99
484,-97
485,-97
486,-99
487,-95
488,-96
489,-100
490,-96
491,-96
492,-99
493,-99
494,-94
495,-99
496,-98
497,-94
498,-94
499,-94
