Packet number,RSSI
0,-109
1,-103
2,-105
3,-104
4,-110
5,-102
7,-101
8,-99
10,-107
11,-104
12,-100
13,-101
14,-98
15,-101
16,-96
17,-96
18,-101
19,-102
20,-97
21,-105
22,-97
23,-101
24,-99
25,-98
27,-98
28,-95
29,-98
30,-99
32,-101
33,-100
34,-99
35,-101
37,-99
38,-96
39,-98
40,-99
42,-99
43,-96
44,-97
45,-99
47,-96
48,-100
49,-98
50,-100
52,-100
53,-99
54,-99
55,-97
57,-100
58,-99
59,-97
60,-99
62,-97
63,-100
64,-99
65,-96
67,-98
68,-98
69,-98
70,-99
72,-99
73,-101
74,-95
75,-98
77,-100
78,-98
79,-99
80,-101
82,-99
83,-100
84,-95
85,-100
87,-100
88,-98
89,-98
90,-100
92,-100
93,-100
94,-99
95,-99
97,-99
98,-100
99,-99
100,-94
102,-99
103,-100
104,-99
105,-97
107,-95
108,-98
109,-99
110,-96
112,-100
113,-97
114,-98
115,-95
117,-97
118,-101
119,-100
120,-99
122,-99
123,-96
124,-96
125,-98
127,-99
128,-99
129,-100
130,-99
132,-99
133,-99
134,-98
135,-99
137,-99
138,-97
139,-99
140,-99
142,-99
143,-98
144,-98
145,-100
147,-96
148,-99
149,-95
150,-101
152,-95
153,-100
154,-101
155,-101
156,-100
158,-95
159,-100
160,-100
161,-100
163,-101
164,-100
165,-97
166,-100
168,-101
169,-100
170,-100
171,-99
173,-100
174,-97
175,-100
176,-100
178,-100
179,-100
180,-101
181,-100
183,-99
184,-96
185,-96
186,-97
188,-99
189,-100
190,-98
191,-97
193,-99
194,-96
195,-99
196,-100
198,-97
199,-100
200,-100
201,-99
203,-99
204,-101
205,-99
206,-99
208,-100
209,-100
210,-97
211,-99
213,-98
214,-97
215,-97
216,-100
219,-94
220,-100
221,-98
222,-99
223,-100
224,-99
225,-99
226,-97
228,-99
229,-97
230,-97
231,-99
233,-100
234,-99
235,-100
236,-100
238,-101
239,-101
240,-100
241,-100
243,-95
244,-97
245,-99
246,-100
248,-99
249,-97
250,-97
251,-97
253,-100
254,-100
255,-100
256,-99
258,-100
259,-100
260,-100
261,-99
263,-98
264,-99
265,-101
266,-96
268,-97
269,-99
270,-99
271,-99
273,-99
274,-101
275,-99
276,-101
278,-101
279,-96
280,-100
281,-98
283,-100
284,-95
285,-99
286,-100
288,-100
289,-97
290,-97
291,-99
293,-99
294,-99
295,-96
296,-98
298,-97
299,-97
300,-94
301,-99
302,-99
304,-98
305,-99
306,-99
307,-99
309,-96
310,-99
311,-100
312,-99
314,-100
315,-101
316,-100
317,-101
319,-100
320,-95
321,-96
322,-95
324,-97
325,-98
326,-99
327,-94
329,-98
330,-97
331,-98
332,-97
334,-100
335,-100
336,-98
338,-99
339,-99
340,-100
341,-98
342,-100
344,-98
345,-98
346,-99
347,-99
349,-95
350,-99
351,-99
352,-98
354,-100
355,-100
356,-101
357,-99
359,-100
360,-100
361,-98
362,-99
364,-98
365,-99
366,-98
367,-100
369,-98
370,-101
371,-98
372,-96
374,-98
375,-100
376,-101
377,-97
379,-99
380,-98
381,-95
382,-100
384,-99
385,-99
386,-100
387,-100
389,-99
390,-97
391,-98
392,-100
394,-101
395,-101
396,-100
397,-100
399,-100
400,-99
401,-99
402,-100
404,-100
405,-99
406,-99
407,-97
409,-99
410,-99
411,-100
412,-98
414,-99
415,-99
416,-100
417,-101
419,-94
420,-98
421,-100
422,-101
424,-95
425,-98
426,-98
427,-98
429,-99
430,-100
431,-100
432,-99
434,-95
435,-100
436,-99
437,-97
439,-97
440,-100
441,-96
442,-96
443,-99
445,-98
446,-97
447,-99
448,-99
450,-97
451,-99
452,-97
453,-99
455,-99
456,-97
457,-98
458,-98
460,-94
461,-100
462,-100
463,-99
465,-100
466,-99
467,-99
468,-99
470,-100
471,-99
472,-100
473,-97
475,-98
476,-100
477,-97
478,-97
480,-96
482,-99
483,-101
484,-99
485,-99
486,-99
487,-97
488,-99
490,-100
491,-97
492,-99
493,-97
495,-99
496,-99
497,-99
498,-99
