RSSI,distance,snow_depth,temperature,wind,success_rate
-75,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-77,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-82,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-79,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-70,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-77,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-71,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-77,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-77,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-77,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-75,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-76,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-74,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-72,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-73,10,0,-15,2.5,0.9779559118
-82,15,0,-7,3.89,0.988
-86,15,0,-7,3.89,0.988
-81,15,0,-7,3.89,0.988
-78,15,0,-7,3.89,0.988
-88,15,0,-7,3.89,0.988
-81,15,0,-7,3.89,0.988
-80,15,0,-7,3.89,0.988
-77,15,0,-7,3.89,0.988
-84,15,0,-7,3.89,0.988
-81,15,0,-7,3.89,0.988
-84,15,0,-7,3.89,0.988
-82,15,0,-7,3.89,0.988
-82,15,0,-7,3.89,0.988
-79,15,0,-7,3.89,0.988
-80,15,0,-7,3.89,0.988
-77,15,0,-7,3.89,0.988
-83,15,0,-7,3.89,0.988
-75,15,0,-7,3.89,0.988
-79,15,0,-7,3.89,0.988
-78,15,0,-7,3.89,0.988
-77,15,0,-7,3.89,0.988
-83,15,0,-7,3.89,0.988
-74,15,0,-7,3.89,0.988
-78,15,0,-7,3.89,0.988
-73,15,0,-7,3.89,0.988
-80,15,0,-7,3.89,0.988
-77,15,0,-7,3.89,0.988
-81,15,0,-7,3.89,0.988
-76,15,0,-7,3.89,0.988
-76,15,0,-7,3.89,0.988
-73,15,0,-7,3.89,0.988
-74,15,0,-7,3.89,0.988
-76,15,0,-7,3.89,0.988
-76,15,0,-7,3.89,0.988
-78,15,0,-7,3.89,0.988
-75,15,0,-7,3.89,0.988
-75,15,0,-7,3.89,0.988
