RSSI,distance,snow_depth,temperature,wind,success_rate
-54,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-59,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-59,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-59,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-67,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-52,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-59,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-58,25,0,-3.0,11.11,1.0
-53,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-54,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-57,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-55,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
-56,25,0,-3.0,11.11,1.0
