Packet number,RSSI
310,-91
311,-91
312,-91
317,-99
319,-117
321,-108
322,-109
323,-103
324,-103
325,-104
326,-105
327,-105
329,-107
331,-103
332,-109
333,-106
334,-106
336,-107
337,-109
338,-108
339,-107
340,-106
341,-106
342,-107
343,-106
344,-104
345,-103
346,-106
347,-107
348,-104
349,-104
350,-107
351,-107
353,-106
354,-107
355,-106
356,-107
358,-107
359,-108
360,-111
363,-103
364,-107
365,-107
366,-110
368,-108
369,-104
370,-104
373,-105
374,-106
375,-106
376,-107
378,-104
379,-106
380,-108
381,-105
382,-100
383,-111
384,-107
385,-99
386,-100
388,-97
389,-108
390,-95
391,-97
392,-97
393,-97
394,-99
395,-97
396,-99
398,-100
399,-98
400,-99
401,-100
403,-98
404,-98
405,-100
406,-99
408,-100
409,-98
410,-97
411,-98
413,-94
414,-98
415,-98
416,-98
418,-96
419,-99
420,-97
421,-98
423,-98
424,-97
425,-96
426,-97
428,-97
429,-98
430,-96
431,-98
433,-98
434,-95
435,-98
436,-96
438,-92
439,-100
440,-99
441,-98
443,-100
444,-99
445,-100
446,-100
448,-100
449,-96
450,-100
451,-100
453,-99
454,-96
455,-96
456,-99
458,-99
459,-98
460,-99
461,-99
463,-100
464,-96
465,-98
466,-96
468,-97
469,-96
470,-97
471,-98
473,-99
474,-97
475,-97
476,-98
478,-99
479,-98
480,-98
481,-95
482,-99
484,-100
485,-98
486,-96
487,-99
489,-97
490,-99
491,-99
492,-98
494,-100
495,-98
496,-99
497,-99
499,-99
