Packet number,RSSI
120,-70
121,-71
122,-76
123,-69
124,-72
125,-69
126,-70
127,-69
128,-71
129,-73
130,-70
131,-72
132,-68
133,-71
134,-68
135,-70
136,-68
137,-70
138,-69
139,-68
140,-66
141,-67
142,-68
143,-69
144,-67
145,-67
146,-68
147,-67
148,-67
149,-66
150,-68
151,-66
152,-67
153,-65
154,-68
155,-72
156,-65
157,-71
158,-66
159,-65
160,-69
161,-67
162,-65
163,-68
164,-66
165,-70
166,-69
167,-68
168,-69
169,-68
170,-70
171,-69
172,-72
173,-74
174,-70
